name,park_name,park_link,sq,park_lat,park_long
Тверской,Тайницкий сад,https://ru.wikipedia.org//wiki/%D0%A2%D0%B0%D0%B9%D0%BD%D0%B8%D1%86%D0%BA%D0%B8%D0%B9_%D1%81%D0%B0%D0%B4,"5,1",55.7503,37.6206
Тверской,Александровский сад,https://ru.wikipedia.org//wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%B0%D0%B4_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0),"9,54",55.752345,37.613701
Басманный,Сад им. Баумана,https://ru.wikipedia.org//wiki/%D0%A1%D0%B0%D0%B4_%D0%B8%D0%BC._%D0%91%D0%B0%D1%83%D0%BC%D0%B0%D0%BD%D0%B0,"4,95",55.7675,37.65889
Басманный,Милютинский сад,https://ru.wikipedia.org//wiki/%D0%9C%D0%B8%D0%BB%D1%8E%D1%82%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%B0%D0%B4,"0,91",55.75611,37.64667
Басманный,Морозовский сад,https://ru.wikipedia.org//wiki/%D0%9C%D0%BE%D1%80%D0%BE%D0%B7%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%B0%D0%B4,"0,46",55.7554361,37.6435472
Басманный,Парк в Спасоглинищевском переулке,https://ru.wikipedia.org//wiki/%D0%9F%D0%B0%D1%80%D0%BA_%D0%B2_%D0%A1%D0%BF%D0%B0%D1%81%D0%BE%D0%B3%D0%BB%D0%B8%D0%BD%D0%B8%D1%89%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%BC_%D0%BF%D0%B5%D1%80%D0%B5%D1%83%D0%BB%D0%BA%D0%B5,"2,7",55.75583,37.63639
Мещанский,Фестивальный парк,https://ru.wikipedia.org//wiki/%D0%A4%D0%B5%D1%81%D1%82%D0%B8%D0%B2%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA,"12,60",55.7907,37.6193
Мещанский,Екатерининский парк,https://ru.wikipedia.org//wiki/%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0),14,55.78395389,37.62125611
Мещанский,Екатерининский сквер,https://ru.wikipedia.org//wiki/%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%BA%D0%B2%D0%B5%D1%80_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0),"2,04",55.779778,37.618194
Мещанский,Аптекарский огород,https://ru.wikipedia.org//wiki/%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4,"6,7",55.7783806,37.6358111
Пресненский,Красная Пресня,https://ru.wikipedia.org//wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F_%D0%9F%D1%80%D0%B5%D1%81%D0%BD%D1%8F_(%D0%BF%D0%B0%D1%80%D0%BA),"13,78",55.7542,37.5528
Пресненский,Сад «Аквариум»,https://ru.wikipedia.org//wiki/%D0%90%D0%BA%D0%B2%D0%B0%D1%80%D0%B8%D1%83%D0%BC_(%D1%81%D0%B0%D0%B4),"1,08",55.7675,37.59528
Пресненский,Детский парк «Пресненский»,https://ru.wikipedia.org//wiki/%D0%9F%D1%80%D0%B5%D1%81%D0%BD%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_(%D0%BF%D0%B0%D1%80%D0%BA),"3,25",55.75667,37.57361
Пресненский,Сквер «Патриаршие пруды»,https://ru.wikipedia.org//wiki/%D0%9F%D0%B0%D1%82%D1%80%D0%B8%D0%B0%D1%80%D1%88%D0%B8%D0%B5_%D0%BF%D1%80%D1%83%D0%B4%D1%8B,"2,37",55.7639,37.5919
Пресненский,Московский зоопарк,https://ru.wikipedia.org//wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%B7%D0%BE%D0%BE%D0%BF%D0%B0%D1%80%D0%BA,10,55.761944444444,37.577222222222
